,open,close,high,low,volume,money,mov_percent,movement,EMA-5,ROC-5,RSI,MI
2005-03-07,334.82,336.3,336.46,334.46,707543700.0,4176258472.0,0.562189335347503,1,0.6184918780672344,0.5614768584747172,0.5362200068180837,8.04000000000002
2005-03-08,337.25,343.12,343.12,337.12,1031728800.0,6780910215.0,0.6398997529816977,1,0.6973707722568095,0.61520164626608,0.6149288802541177,6.490000000000009
2005-03-09,343.89,344.05,344.97,341.83,1050026200.0,6477663926.0,0.5385203666670312,1,0.6793372225558278,0.660656560785233,0.6246410707269581,5.3799999999999955
2005-03-10,344.16,335.51,344.16,334.52,955849000.0,5700832805.0,0.38532264478661915,0,0.5560695053855537,0.5828771852939356,0.48224101099503747,-3.990000000000009
2005-03-11,334.91,337.28,337.5,333.35,833780600.0,5329239230.0,0.5780857184146406,1,0.5952819884248565,0.6057247889943885,0.504228982818651,-2.7000000000000455
2005-03-14,337.22,337.13,340.54,331.94,1033018600.0,6833078457.0,0.5341387686747547,0,0.5989004728774857,0.5913142762894894,0.501838863660359,-2.4399999999999977
2005-03-15,336.97,332.42,337.03,331.66,915080600.0,5656038219.0,0.4549286403083335,0,0.5473277109178077,0.5083159224264922,0.4293524657772011,-6.579999999999984
2005-03-16,331.92,329.25,331.92,326.39,794187600.0,4814519600.0,0.4875957096430341,0,0.5307559935428449,0.47913278073497245,0.3852775366622657,-4.589999999999975
2005-03-17,328.7,325.34,329.5,325.15,790193900.0,4659563889.0,0.4745615064866916,0,0.5104497384799619,0.5104674648938387,0.33519858707884986,-10.490000000000009
2005-03-18,324.74,318.78,325.99,317.79,780905500.0,4537556798.0,0.42590088995189557,0,0.4642795080555965,0.4499472026739136,0.2629506849469928,-15.720000000000027
2005-03-21,318.08,319.48,319.71,316.01,563999000.0,3301573106.0,0.5620763647774892,1,0.5207002013982683,0.45610534829236543,0.27509522369049666,-16.819999999999993
2005-03-22,319.2,312.29,319.42,311.14,842951800.0,4863337875.0,0.4061834806245931,0,0.4618595255538758,0.4358758690784256,0.20565538022903326,-30.829999999999984
2005-03-23,311.97,311.48,317.22,310.33,820146200.0,4941501547.0,0.5263362736232938,0,0.5003683247315727,0.4521161566874448,0.19852914565519061,-32.56999999999999
2005-03-24,310.96,313.92,314.0,308.0,664205500.0,4419679197.0,0.5927022402898576,1,0.5674687276991071,0.498654499377242,0.24426367008762487,-21.589999999999975
2005-03-25,313.79,313.77,314.9,312.29,606054800.0,3537237943.0,0.5353545346128942,0,0.5801417009365084,0.5464658796326212,0.242685894205073,-23.50999999999999
2005-03-28,313.32,312.13,313.32,307.92,597402000.0,3308574591.0,0.5130064934532554,0,0.5697437966847027,0.5284863538718739,0.22488132200291253,-25.0
2005-03-29,311.92,310.77,314.65,310.65,589765500.0,3412489680.0,0.513671921241907,0,0.5662599203621808,0.5732229311362715,0.21009662879991,-21.650000000000034
2005-03-30,309.89,303.01,309.89,302.56,710868500.0,3885272333.0,0.4028707001135611,0,0.48210386148353246,0.5181607267876708,0.13710396741048966,-26.24000000000001
2005-03-31,301.92,305.64,305.74,300.0,604675400.0,3112526642.0,0.609472323915929,1,0.5582575063399632,0.5201747643040399,0.1924629358036046,-19.69999999999999
2005-04-01,305.37,317.04,319.86,303.46,1076688300.0,6175400934.0,0.7644406686380749,1,0.7237105522301989,0.6109305748458528,0.38392534826730385,-1.7399999999999523
2005-04-04,314.4,312.69,316.55,309.89,872114500.0,4881465547.0,0.5031864816463741,0,0.6297167012028541,0.5896521855602795,0.33510055817649986,-6.7900000000000205
2005-04-05,312.29,311.16,314.73,310.33,730764700.0,4075041605.0,0.5140813306050782,0,0.6039962040562084,0.588322392978615,0.3186014556618998,-1.1299999999999955
2005-04-06,310.93,316.69,317.78,308.89,1089258800.0,6722370286.0,0.6465999479490518,1,0.677494098264535,0.6965751091899365,0.39834390347715976,5.2099999999999795
2005-04-07,317.05,320.58,325.07,316.65,1509834100.0,8692374161.0,0.6023671570016332,1,0.7049264384197063,0.7057844455496073,0.4485709332637896,6.659999999999968
2005-04-08,320.39,326.33,326.38,318.98,1214893400.0,6679592540.0,0.6466887258111171,1,0.746156511694885,0.6574966465402754,0.5150308895553086,12.560000000000002
2005-04-11,326.4,324.11,327.98,323.34,1287379500.0,7600790429.0,0.4937488654177279,0,0.6724609326178603,0.6753023729589992,0.4845901251100335,11.980000000000018
2005-04-12,323.68,318.17,323.68,317.92,933992100.0,5320556188.0,0.4338612728317548,0,0.5778882872905979,0.6407904259071647,0.40944588376940827,7.400000000000034
2005-04-13,320.18,325.27,326.31,320.18,1214899300.0,6980841845.0,0.6308740063608178,1,0.677787816306517,0.6520471344517222,0.49138850269659295,22.25999999999999
2005-04-14,326.03,320.54,326.69,319.9,1091238200.0,6193770133.0,0.43496269383971026,0,0.596645250946004,0.5849195335091174,0.4346652216869139,14.900000000000034
2005-04-15,319.0,314.01,319.0,313.43,935121700.0,5234828193.0,0.44212204387370113,0,0.5203017754287514,0.49211511433356314,0.36524964084106126,-3.0300000000000296
2005-04-18,312.87,310.53,312.87,308.54,747703200.0,4122915821.0,0.49097674789079715,0,0.5065867281167079,0.4818892793749926,0.33166248279733357,-2.160000000000025
2005-04-19,310.09,309.98,311.89,307.59,756844500.0,4188659202.0,0.5336130411891168,0,0.5339825331912222,0.5217413595113457,0.32632493883412506,-1.1800000000000068
2005-04-20,309.22,304.11,309.22,303.05,791500000.0,4228158272.0,0.43683878692772943,0,0.48472641726373855,0.424782958397486,0.27163189101742524,-12.579999999999984
2005-04-21,303.46,300.08,305.05,298.55,852093900.0,4662838416.0,0.4690789578071612,0,0.47420881007024873,0.42780141255971715,0.2377314106376138,-20.5
2005-04-22,299.45,295.7,300.49,294.21,908380700.0,4671588606.0,0.4607918530173187,0,0.4618824507508025,0.44141447179081644,0.2035298623046264,-30.629999999999995
2005-04-25,294.14,290.7,294.14,287.14,895875100.0,4763564068.0,0.46574613801625603,0,0.44456977651996515,0.42773043835507585,0.16787651156202196,-33.410000000000025
2005-04-26,289.82,294.35,295.18,288.82,953454600.0,5116737709.0,0.6292766346105219,1,0.5474500132536095,0.46086805379579715,0.22488134003878194,-23.819999999999993
2005-04-27,295.05,290.29,295.06,290.05,855269700.0,4531177717.0,0.4391882702907682,0,0.5139927861420397,0.47314678162773005,0.19408169098131042,-34.97999999999996
2005-04-28,289.39,296.17,296.92,285.4,1155306200.0,6003269162.0,0.6759452550362441,1,0.6256572486354863,0.5530912271384799,0.2810653192377116,-24.370000000000005
2005-04-29,295.55,291.76,295.76,291.09,920960300.0,4822389088.0,0.45899295752881314,0,0.5612286024489617,0.5523649978140721,0.24449528315403632,-22.25
2005-05-09,292.34,282.43,293.11,282.32,636606200.0,3243878038.0,0.3328668197184531,0,0.4510111810155524,0.5150634614050466,0.1782184459672366,-28.099999999999966
2005-05-10,281.03,282.55,282.69,274.38,799258300.0,3852841514.0,0.5681043906846077,1,0.504711677591928,0.4863558797277082,0.18000977140950267,-27.430000000000007
2005-05-11,281.92,279.22,284.0,278.79,747736900.0,3683159813.0,0.47842094670265356,0,0.49337505378089885,0.4911752300232726,0.1577254018229958,-24.889999999999986
2005-05-12,278.51,275.9,278.79,274.11,733947000.0,3815180034.0,0.47965308972154863,0,0.4853537651966173,0.4164300251754863,0.13639652002388228,-24.180000000000007
2005-05-13,275.32,277.25,279.62,272.95,813040100.0,4035130447.0,0.5776877267727196,1,0.5456662904256221,0.46256970627488136,0.15929950280056546,-18.44999999999999
2005-05-16,277.03,274.36,277.03,272.22,718835300.0,3337829388.0,0.4780573242126469,0,0.5261354937734493,0.5147554665023475,0.1393044262756509,-16.339999999999975
2005-05-17,273.67,276.83,278.49,272.02,752359300.0,3436921178.0,0.6048379501610143,1,0.5896781555672517,0.5352982088917965,0.1830969609671884,-17.52000000000004
2005-05-18,276.44,277.8,279.2,273.69,738442600.0,3525256274.0,0.5651780595976945,1,0.6108912949832848,0.5726844683428735,0.20042667071255074,-12.490000000000009
2005-05-19,277.71,277.95,279.13,274.1,667915500.0,2997388811.0,0.5409078728742523,1,0.6132549531138534,0.603552725544018,0.20324851861413176,-18.220000000000027
2005-05-20,277.76,276.91,279.64,276.36,624372000.0,2866017606.0,0.5174221133367126,0,0.5977001865500782,0.5822027232006988,0.19341316847173987,-14.849999999999966
2005-05-23,275.87,269.01,275.87,268.67,670616100.0,2982402755.0,0.3869197603771559,0,0.4884391123427052,0.5371338489796695,0.1273291853508324,-13.420000000000016
2005-05-24,268.06,273.11,274.16,267.46,762601100.0,3469132091.0,0.6484790683915442,1,0.5883103083317767,0.5520849826762004,0.20596079066833303,-9.439999999999998
2005-05-25,272.81,273.79,276.1,271.09,764140000.0,3216119044.0,0.5572338878264166,1,0.605932077232729,0.5496260549586648,0.2186723175545526,-5.430000000000007
2005-05-26,273.64,270.53,275.1,269.56,646446700.0,2920728192.0,0.4677199205044024,0,0.5602048903174079,0.5193872574386869,0.18823018010599132,-5.3700000000000045
2005-05-27,269.91,267.8,273.12,267.41,626691900.0,2872257922.0,0.4889523228775883,0,0.5371397497753102,0.5040877539490763,0.16417372388255783,-9.449999999999989
2005-05-30,267.01,270.22,270.91,265.49,620030900.0,2735973870.0,0.6076822109168195,1,0.5973135066713952,0.596320794181133,0.21327317688749634,-4.139999999999986
2005-05-31,270.57,269.93,272.01,268.86,643083000.0,2791341924.0,0.5215802840926079,0,0.597749789710386,0.5565100620794174,0.21031548576162354,-6.899999999999977
2005-06-01,269.71,263.53,269.71,262.28,689709200.0,3131248376.0,0.3986092702496834,0,0.5077038242896322,0.4928037609366237,0.1502120647201827,-14.270000000000039
2005-06-02,262.94,259.68,263.42,258.11,711867300.0,3418773029.0,0.4615380829252518,0,0.4842834084959038,0.4863111712399037,0.11946310562852677,-18.269999999999982
2005-06-03,259.2,258.29,261.03,254.92,706966900.0,3245297483.0,0.514725441100977,0,0.5048295959665395,0.49764370490356785,0.10883755659953084,-18.620000000000005
2005-06-06,257.82,264.13,264.21,254.08,726694100.0,3389602879.0,0.6822041738425388,1,0.6285667255697494,0.5296429261287067,0.22998792830301498,-4.8799999999999955
2005-06-07,264.75,264.02,269.92,263.26,1079102700.0,5452181709.0,0.519234695885674,0,0.6211923266325918,0.5312278609388484,0.2288590906643385,-9.090000000000032
2005-06-08,265.03,285.01,286.22,265.03,2280044700.0,11006945644.0,0.9868964468699859,1,0.9364711709420043,0.7862554200021381,0.5209550013345151,11.21999999999997
2005-06-09,285.08,287.2,290.91,281.02,2337412800.0,11791906540.0,0.5802400384065303,1,0.8547923718911988,0.8466013932629041,0.5418428791981846,16.670000000000016
2005-06-10,287.0,280.58,287.0,279.2,1585071800.0,7720376588.0,0.4018658264332604,0,0.6746099319601382,0.7980681948766224,0.4603067957428907,12.779999999999973
2005-06-13,280.33,281.13,282.44,275.75,1143090400.0,5331899105.0,0.5528145209908589,1,0.6612772035670271,0.7439663466877539,0.466263568269787,10.909999999999968
2005-06-14,281.7,276.46,283.85,276.27,1087128100.0,5076682126.0,0.424415498403106,0,0.5775550705412932,0.7014353194288235,0.41146917984921694,6.529999999999973
2005-06-15,275.57,269.45,275.57,268.96,868620300.0,4021231757.0,0.4028282879897639,0,0.4879591992425156,0.4505785695969434,0.33924562594021634,5.920000000000016
2005-06-16,269.14,272.62,272.66,266.76,787514200.0,3935694518.0,0.6131164817696784,1,0.5743628081475862,0.4600210914774264,0.3787403665879172,12.939999999999998
2005-06-17,273.7,271.63,274.99,270.4,915109000.0,4729749238.0,0.49047476178127664,0,0.5722309479700108,0.5065554856516972,0.3682975426809907,13.339999999999975
2005-06-20,271.65,280.42,280.43,267.78,1320620600.0,7256778252.0,0.7289419143932219,1,0.7138243114579897,0.5789984761443238,0.471161781016441,16.29000000000002
2005-06-21,280.34,277.72,280.52,276.79,1076297300.0,5744311542.0,0.47980571259316157,0,0.639976476993164,0.5964679046143954,0.4399536550496461,13.700000000000045
2005-06-22,277.32,278.97,279.43,276.04,940331200.0,5037992497.0,0.5713428038025761,1,0.6485292507767428,0.6723660380985709,0.45422492266027725,-6.039999999999964
2005-06-23,278.74,276.31,280.52,275.9,920223300.0,4974641749.0,0.48356395945291486,0,0.5977371910986015,0.6186099571512609,0.42183313755426055,-10.889999999999986
2005-06-24,275.58,277.63,277.68,273.98,776560000.0,3763883073.0,0.5802540851958934,1,0.6213801983101199,0.6397058985865681,0.4385106794552296,-2.9499999999999886
2005-06-27,279.49,284.45,286.23,279.49,1435482500.0,7389103567.0,0.6419412244878954,1,0.7165027231599872,0.6206717575998676,0.5179517641979966,3.319999999999993
2005-06-28,283.6,279.61,283.6,278.69,967159900.0,4954920395.0,0.45153884426154745,0,0.611655154788668,0.602011725698628,0.4548725117201676,3.150000000000034
2005-06-29,279.36,277.21,280.28,276.95,820227700.0,4218080281.0,0.48967799572244824,0,0.5772708552954786,0.5696673311711848,0.42540227104957906,7.759999999999991
